org,n_prot,n_pockets,pocket/protein,plddt_med,pae_med,num_before,num_below_plddt,num_above_pae,prot_with_plddt,prot_without_plddt
ECOLI,3813,2648,0.694,92.73043269230769,2.912206652996127,2764,82,102,93.23804289544235,90.07048178807946
YEAST,5623,3000,0.534,89.28169590643274,3.6721113445378153,3596,497,535,84.53573604060914,75.21876642741971
CANAL,5622,3124,0.556,90.18682926829268,3.428658536585366,3573,334,400,85.40129904759345,75.79381793070317
ARATH,24778,11075,0.447,90.58813725490195,3.32393203599813,12460,971,1209,84.15714043583534,74.35644382440476
ORYSJ,30708,10618,0.346,87.35764705882355,4.25,14571,3493,3637,80.95230769230768,67.05260504201681
MAIZE,35165,13177,0.375,87.41843749999998,4.1911764705882355,16941,3020,3301,79.41496551724138,68.48316156260418
SOYBN,47539,20915,0.44,89.47559139784946,3.576896199537709,24372,2599,2943,82.69233258928571,72.61919230769232
CAEEL,17819,8850,0.497,87.45063829787235,4.026315789473684,11439,2224,2243,84.12925301853983,75.7561912896042
DROME,12389,5867,0.474,90.5352380952381,3.2976190476190474,6425,345,478,85.07238512035012,72.24553523144274
MOUSE,20367,10133,0.498,89.67958333333331,3.831578947368421,11023,438,785,85.23788987324204,74.66319809069212
HUMAN,19268,8108,0.421,90.15141666666668,3.536062072403479,9016,569,816,83.63208660866863,73.1622224463598
